"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","104","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"D1,D2","2","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"G1","1","SW_Omron_B3FS","","","","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"MIDI_IN1,MIDI_IN2,MIDI_OUT1,MIDI_OUT2,MIDI_OUT3,MIDI_OUT4,MIDI_OUT5,MIDI_OUT6","8","Conn_01x04_Pin","","","","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"OLED1","1","Conn_01x04_Pin","","","","KICAD:128x64OLED","~"
"R1,R2","2","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R3,R4","2","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16","12","47","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"SW1","1","RotaryEncoder_Switch","","","","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~"
"TEENSY1","1","Teensy4.1","","","","teensy:Teensy41",""
"U2,U3","2","6N138","","","","Package_DIP:DIP-8_W10.16mm_LongPads","http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf"
"USB1","1","USB_A","","","","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","~"
